201A,201A-MAY001,192.168.11.167,4C:CF:7C:49:28:60
201A,201A-MAY002,192.168.11.168,4C:CF:7C:49:DA:5E
201A,201A-MAY003,192.168.11.169,4C:CF:7C:49:26:C1
201A,201A-MAY004,192.168.11.170,4C:CF:7C:49:25:7F
201A,201A-MAY005,192.168.11.171,4C:CF:7C:49:25:DD
201A,201A-MAY006,192.168.11.172,4C:CF:7C:49:26:B1
201A,201A-MAY007,192.168.11.173,4C:CF:7C:3C:01:86
201A,201A-MAY008,192.168.11.174,4C:CF:7C:3C:00:7E
201A,201A-MAY009,192.168.11.175,4C:CF:7C:49:25:37
201A,201A-MAY010,192.168.11.176,4C:CF:7C:49:28:16
201A,201A-MAY011,192.168.11.177,4C:CF:7C:49:26:BC
201A,201A-MAY012,192.168.11.178,4C:CF:7C:49:25:45
201A,201A-MAY013,192.168.11.179,4C:CF:7C:49:28:41
201A,201A-MAY014,192.168.11.180,4C:CF:7C:49:27:62
201A,201A-MAY015,192.168.11.181,4C:CF:7C:3C:EC:40
201A,201A-MAY016,192.168.11.182,4C:CF:7C:3C:01:89
201A,201A-MAY017,192.168.11.183,4C:CF:7C:49:28:51
201A,201A-MAY018,192.168.11.184,4C:CF:7C:49:25:CD
201A,201A-MAY019,192.168.11.186,4C:CF:7C:49:26:47
201A,201A-MAY020,192.168.11.187,4C:CF:7C:3C:00:37
201A,201A-MAY021,192.168.11.188,4C:CF:7C:49:28:14
201A,201A-MAY022,192.168.11.189,4C:CF:7C:49:27:24
201A,201A-MAY023,192.168.11.190,4C:CF:7C:3C:02:B8
201A,201A-MAY024,192.168.11.191,4C:CF:7C:49:26:50
201A,201A-MAY025,192.168.11.192,4C:CF:7C:3C:01:88
201A,201A-MAY026,192.168.11.193,4C:CF:7C:3C:00:0F
201A,201A-MAY027,192.168.11.194,4C:CF:7C:49:27:EE
201A,201A-MAY028,192.168.11.195,4C:CF:7C:49:03:9A
201A,201A-MAY029,192.168.11.196,4C:CF:7C:49:24:FA
201A,201A-MAY030,192.168.11.197,4C:CF:7C:3C:01:77
201A,201A-MAY031,192.168.11.198,4C:CF:7C:3C:EB:E7
201A,201A-MAY032,192.168.11.199,4C:CF:7C:49:26:54
201A,201A-MAY033,192.168.11.200,4C:CF:7C:49:27:6B
201A,201A-MAY034,192.168.11.201,4C:CF:7C:49:26:B3
201A,201A-MAY035,192.168.11.202,4C:CF:7C:49:28:01
201A,201A-MAY036,192.168.11.203,4C:CF:7C:3C:02:1F
201A,201A-MAY037,192.168.11.204,4C:CF:7C:49:27:30
201A,201A-MAY038,192.168.11.205,4C:CF:7C:49:25:BB
201A,201A-MAY039,192.168.11.206,4C:CF:7C:3C:01:C0
